dogadjaj_id,predmet,tip,nastavnik,smjerovi,ciklus,semestar,godina,grupa,broj_studenata,ucionica_id,dan,pocetak,kraj,trajanje_sati
D0009,Algebra za kompjuterske nauke,AV,Vedad Letić,Kompjuterske nauke,Bachelor,4,II godina,G1,40,428,SRIJEDA,12:00,14:00,2
D0154,Operativni sistemi,P,Samir Ribić,Kompjuterske nauke,Bachelor,4,II godina,G1,40,RC,UTORAK,08:00,10:00,2
D0031,Baze podataka,P,Adis Alihodžić,Kompjuterske nauke | Nastavnički smjer (matematika i informatika) | Opći smjer | Primijenjena matematika,Bachelor,5,III godina,G1,35,419,CETVRTAK,14:00,17:00,3
D0198,Teorija grafova,P,Damir Hasić,Kompjuterske nauke | Opći smjer | Primijenjena matematika,Bachelor,6,III godina,G1,29,432,PONEDJELJAK,08:00,11:00,3
D0062,Geometrija I,P,Franjo Šarčević,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Bachelor,4,II godina,G1,27,428,PETAK,13:00,16:00,3
D0021,Analiza III,AV,Medina Zubača,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Bachelor,3,II godina,G1,27,RC,PETAK,16:00,19:00,3
D0150,Operaciona istraživanja,P,Almasa Odžak,Kompjuterske nauke | Primijenjena matematika,Bachelor,5,III godina,G1,25,RC,PETAK,09:00,12:00,3
D0030,Baze podataka,AV,Aleksandar Balašev-Samarski,Kompjuterske nauke | Nastavnički smjer (matematika i informatika) | Opći smjer | Primijenjena matematika,Bachelor,5,III godina,G1,35,419,PETAK,13:00,15:00,2
D0197,Teorija grafova,AV,Adisa Bolić,Kompjuterske nauke | Opći smjer | Primijenjena matematika,Bachelor,6,III godina,G1,29,428,SRIJEDA,10:00,12:00,2
D0023,Analiza III,P,Almasa Odžak,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Bachelor,3,II godina,G1,27,428,SRIJEDA,08:00,10:00,2
D0022,Analiza III,P,Almasa Odžak,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Bachelor,3,II godina,G1,27,432,SRIJEDA,11:00,13:00,2
D0061,Geometrija I,AV,Mirza Čvorak,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Bachelor,4,II godina,G1,27,432,PETAK,17:00,19:00,2
D0214,Teorija skupova,P,Franjo Šarčević,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Bachelor,3,II godina,G1,27,432,CETVRTAK,08:00,10:00,2
D0213,Teorija skupova,AV,Mirza Čvorak,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Bachelor,3,II godina,G1,27,432,SRIJEDA,16:00,18:00,2
D0236,Web programiranje,P,Sead Delalić,Kompjuterske nauke | Nastavnički smjer (matematika i informatika),Bachelor,5,III godina,G1,26,428,UTORAK,08:00,10:00,2
D0043,Dinamički web sistemi,P,Sead Delalić,Kompjuterske nauke | Nastavnički smjer (matematika i informatika),Bachelor,6,III godina,G1,26,432,PONEDJELJAK,11:00,13:00,2
D0149,Operaciona istraživanja,AV,Emin Bešo,Kompjuterske nauke | Primijenjena matematika,Bachelor,5,III godina,G1,25,432,PETAK,15:00,17:00,2
D0100,Mašinsko učenje,P,Adis Alihodžić,Kompjuterske nauke | Primijenjena matematika,Bachelor,6,III godina,G1,25,441,PETAK,12:00,14:00,2
D0084,Kompleksna analiza I,P,Lejla Smajlović,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Bachelor,5,III godina,G1,22,419,PONEDJELJAK,08:00,11:00,3
D0083,Kompleksna analiza I,AV,Džana Drino,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Bachelor,5,III godina,G1,22,428,PONEDJELJAK,14:00,17:00,3
D0005,Algebra I,AV,Aleksandar Balašev-Samarski,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Bachelor,5,III godina,G1,22,VRC,SRIJEDA,11:00,14:00,3
D0006,Algebra I,P,Manuela Muzika Dizdarević,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Bachelor,5,III godina,G1,22,419,UTORAK,10:00,13:00,3
D0076,Komparativna analiza programskih jezika,P,Elmedin Selmanović,Kompjuterske nauke,Bachelor,6,III godina,G1,20,441,CETVRTAK,16:00,19:00,3
D0029,Analiza i sinteza algoritama,P,Esmir Pilav,Kompjuterske nauke,Bachelor,5,III godina,G1,20,426,UTORAK,10:00,13:00,3
D0152,Operaciona istraživanja,P,Almasa Odžak,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika),Master,1,I godina,G1,19,441,UTORAK,10:00,13:00,3
D0180,Razvoj softvera,P,Damir Hasić,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika),Master,1,I godina,G1,19,419,PONEDJELJAK,14:00,17:00,3
D0212,Teorija mjere i integracije,P,Zenan Šabanac,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika),Master,2,I godina,G1,19,419,SRIJEDA,12:00,15:00,3
D0026,Analiza IV,AV,Nacima Memić,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika),Master,1,I godina,G1,19,RC,PETAK,13:00,16:00,3
D0200,Teorija grafova,P,Damir Hasić,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika),Master,2,I godina,G1,19,419,SRIJEDA,16:00,19:00,3
D0027,Analiza IV,P,Nacima Memić,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika),Master,1,I godina,G1,19,428,PETAK,16:00,19:00,3
